Layer,Neuron,Source_Client,Source_Class,Baseline_Correct,Neuron_Patch_Correct,Layer_Patch_Correct
conv3,40,client_0,0 - zero,False,False,True
conv3,65,client_0,0 - zero,False,False,True
conv3,75,client_0,1 - one,False,False,False
conv3,105,client_0,0 - zero,False,False,True
conv1,5,client_0,1 - one,False,False,False
conv1,15,client_0,1 - one,False,False,False
conv2,2,client_0,0 - zero,False,False,False
conv2,42,client_0,0 - zero,False,False,False
conv2,45,client_0,1 - one,False,False,False
conv3,44,client_0,0 - zero,False,False,True
conv3,50,client_0,0 - zero,False,False,True
conv3,63,client_0,1 - one,False,False,False
conv3,73,client_0,0 - zero,False,False,True
conv3,89,client_0,0 - zero,False,False,True
conv3,119,client_0,0 - zero,False,False,True
conv2,8,client_0,0 - zero,False,False,False
conv2,11,client_0,1 - one,False,False,False
conv2,26,client_0,0 - zero,False,False,False
conv2,35,client_0,2 - two,False,False,True
conv2,37,client_0,1 - one,False,False,False
